root - WARNING - Best of Generation nª1 - [2, 21201.75]
root - WARNING - Best of Generation nª2 - [2, 20951.75]
root - WARNING - Best of Generation nª3 - [2, 21201.75]
root - WARNING - Best of Generation nª4 - [2, 20951.75]
root - WARNING - Best of Generation nª5 - [2, 21101.75]
root - WARNING - Best of Generation nª6 - [2, 19631.75]
root - WARNING - Best of Generation nª7 - [2, 15891.75]
root - WARNING - Best of Generation nª8 - [2, 15891.75]
root - WARNING - Best of Generation nª9 - [2, 15891.75]
root - WARNING - Best of Generation nª10 - [2, 15741.75]
root - WARNING - Best of Generation nª11 - [2, 15741.75]
root - WARNING - Best of Generation nª12 - [2, 15596.75]
root - WARNING - Best of Generation nª13 - [2, 15466.75]
root - WARNING - Best of Generation nª14 - [2, 15466.75]
root - WARNING - Best of Generation nª15 - [2, 15466.75]
root - WARNING - Best of Generation nª16 - [2, 15466.75]
root - WARNING - Best of Generation nª17 - [2, 15331.75]
root - WARNING - Best of Generation nª18 - [2, 15331.75]
root - WARNING - Best of Generation nª19 - [2, 15331.75]
root - WARNING - Best of Generation nª20 - [2, 15331.75]
root - WARNING - Best of Generation nª21 - [2, 15256.75]
root - WARNING - Best of Generation nª22 - [2, 15256.75]
root - WARNING - Best of Generation nª23 - [2, 15256.75]
root - WARNING - Best of Generation nª24 - [2, 15256.75]
root - WARNING - Best of Generation nª25 - [2, 15256.75]
root - WARNING - Best of Generation nª26 - [2, 15256.75]
root - WARNING - Best of Generation nª27 - [2, 15256.75]
root - WARNING - Best of Generation nª28 - [2, 15256.75]
root - WARNING - Best of Generation nª29 - [2, 15256.75]
root - WARNING - Best of Generation nª30 - [2, 15161.75]
root - WARNING - Best of Generation nª31 - [2, 15161.75]
root - WARNING - Best of Generation nª32 - [2, 15161.75]
root - WARNING - Best of Generation nª33 - [2, 15161.75]
root - WARNING - Best of Generation nª34 - [2, 15161.75]
root - WARNING - Best of Generation nª35 - [2, 15161.75]
root - WARNING - Best of Generation nª36 - [2, 15161.75]
root - WARNING - Best of Generation nª37 - [2, 15161.75]
root - WARNING - Best of Generation nª38 - [2, 15161.75]
root - WARNING - Best of Generation nª39 - [2, 15161.75]
root - WARNING - Best of Generation nª40 - [2, 15161.75]
root - WARNING - Best of Generation nª41 - [2, 15161.75]
root - WARNING - Best of Generation nª42 - [2, 15161.75]
root - WARNING - Best of Generation nª43 - [2, 15161.75]
root - WARNING - Best of Generation nª44 - [2, 15161.75]
root - WARNING - Best of Generation nª45 - [2, 15161.75]
root - WARNING - Best of Generation nª46 - [2, 15161.75]
root - WARNING - Best of Generation nª47 - [2, 15161.75]
root - WARNING - Best of Generation nª48 - [2, 15161.75]
root - WARNING - Best of Generation nª49 - [2, 15161.75]
root - WARNING - Best of Generation nª50 - [2, 15161.75]
root - WARNING - ---------- GLOBAL Best --------
root - WARNING - Final Best [2, 15161.75]
