sprints,var_ga,var_random,var_best,tf_ga,tf_random,tf_best
1,0,0,0,1,1,1
2,182.19,267.75,321.52,1,1,1
3,432.22,605.59,687.71,2,4,2
4,792.84,969.52,1061.55,4,5,3
5,1035.17,1430.04,1482.75,5,6,2
6,1232.16,1684.69,2188.86,6,5,3
7,1641.32,2069.83,2832.08,6,6,2
8,2066.4,2392.99,3421.46,6,6,2
9,2357.55,2947.39,3826.29,7,7,2
10,2656.18,3253.61,4389.41,6,6,2
11,2888.66,3613.16,5390.78,6,6,2
12,3080.19,3958.37,5792.57,6,7,2
13,3311.49,4164.13,6429.21,7,6,2
14,3729.54,4397.74,7241.34,7,6,2
15,3987.06,4730.34,8697.83,7,6,2
16,4156.48,5103.96,9658.29,7,6,2
17,4848.98,5535.84,10849.28,7,6,1
18,5060.02,6004.18,11799.84,7,6,1
19,5286.88,6237.45,12545.38,6,6,1
20,5451.86,6436.24,13653.22,6,6,1
21,5893.76,6815.31,15106.67,6,6,1
22,6219.34,7211.31,16348.05,7,6,2
23,6776.61,7594.65,17529.97,6,7,2
24,7031.31,7837.26,18903.6,5,6,2
25,7263.17,7930.12,19887.92,5,6,2
26,7476.19,8292.49,21039.58,6,6,2
27,7694.04,8513.94,22419.22,6,6,1
28,7827.52,8951.12,23365.35,5,6,1
29,8086.78,9517.78,25089.19,5,6,1
30,8416.69,9712.07,26653.78,5,6,1
