sprint,var_ga,var_random,var_best,tf_ga,tf_random,tf_best
1,0,0,0,1,1,1
2,1756.6,1184.11,1661.27,3,4,2
3,2604.14,2734.08,3098.08,3,4,2
4,4135.21,4155.44,5948.25,4,4,3
5,5651.36,5538.99,7664.91,4,5,3
6,6846.92,7519.26,10331.89,5,5,3
7,8640.8,8767.28,12921.12,4,5,3
8,10930.21,10344.41,15256.86,4,5,3
9,12216.04,11931.66,18094.53,4,4,3
10,13698.9,13333.05,22028.96,5,4,3
11,15617.66,15207.07,25439.38,5,5,3
12,17384.11,16149.14,30120.98,5,4,3
13,19114.62,17317.54,35162.84,5,5,3
14,20468.08,18569.56,40626.75,4,5,3
15,22603.85,20986.51,47929.53,6,5,3
16,23973.02,23510.5,52458.02,5,5,3
17,25951.95,25066.6,58300.3,4,4,3
18,28450.92,27344.29,64074.14,5,4,3
19,29575.65,29904.76,69838.94,4,4,3
20,32392.28,31827.25,75893.17,4,4,3
21,33584.65,32164.35,82792.01,4,4,3
22,34640.68,32545.38,89403.55,4,4,3
23,36377.57,34256.18,96465.09,4,4,3
24,36726.66,35998.4,105940.39,5,4,3
25,37999.17,36710.15,115295.86,5,4,3
26,38978.79,38710.12,124885.92,5,5,3
27,39873.46,40134.67,135861.39,5,4,3
28,40685.33,40945.47,145609.35,5,4,3
29,42369.23,43507.28,155832.34,5,5,3
30,43652.93,44560.65,167311.06,5,5,3
31,45232.46,45141.12,177510.36,5,4,3
32,47001.83,46510.83,192195.8,5,4,3
33,47247.87,47580.18,205321.69,5,5,3
34,48385.12,48158.52,217543.31,5,4,3
35,48684.41,50265.27,229606.51,5,4,3
36,49705.03,51454.97,245137.1,5,4,3
37,50149.17,52760.24,258863.97,5,4,3
38,51354.32,53857.01,273825.53,5,4,3
39,52308.11,56856.04,284313.73,5,4,3
40,52922.13,57987.96,297932.49,5,4,3
41,54049.26,60363.11,310925.5,5,4,3
42,54438.02,61720.3,327566.18,5,4,3
43,54321.66,65906.89,339355.92,5,4,3
44,55356.39,65770.83,355611.04,4,4,3
45,56796.92,66977.84,373028.43,5,4,3
46,57891.3,68130.27,389439.05,5,3,3
47,60282.96,68730.71,407216.72,5,3,2
48,62213.96,69254.47,421059.14,5,4,2
49,63361.86,72822.25,434019.41,5,4,2
50,64043.79,74967.34,452449.44,5,4,2
