sprint,var_ga,var_random,var_best,knowledge_ga,knowledge_random,knowledge_best,tf_ga,tf_random,tf_best
1,51.16,58,68,874.02,904,3783,4,3,2
2,83.13,103,218,1607.08,1717,12842,5,3,2
3,106.25,138,362,1904.45,2428,25367,4,4,2
4,128.3,186,569,2487.79,3647,47765,5,4,2
5,158.78,226,807,3407.69,5039,76061,5,4,2
6,171.12,263,1034,4886.2,6262,112863,5,4,2
7,177.57,297,1260,6362.1,7785,151047,5,3,1
8,175.01,314,1408,7371.71,8646,188086,5,3,2
9,175.41,345,1599,9338.33,10614,241084,5,4,2
10,186.3,361,1719,9724.02,11710,290732,5,3,2
11,176.46,352,1846,9871.64,12037,325592,5,4,2
12,180.56,372,2026,10992.99,13446,393211,5,4,1
13,181.51,387,2196,12376.36,14969,462499,5,4,1
14,192.69,396,2365,13679.5,16446,538773,5,4,1
15,199.97,407,2589,14252.94,16194,606694,5,4,1
16,209.3,421,2691,15070.22,17048,686368,5,4,1
17,222.16,444,2952,15715.52,19045,786656,5,4,1
18,223.69,455,3251,17362.6,21268,880401,5,4,1
19,231.82,471,3442,19654.71,23951,998719,5,4,1
20,229.93,475,3487,20146.98,25725,1088916,5,4,1
21,224.66,477,3475,19503.77,25758,1174149,5,4,1
22,235.16,496,3682,21408.17,27014,1303738,5,4,1
23,228.91,492,3821,22492.53,28115,1417121,5,4,1
24,232.6,510,3983,23982.33,30045,1545525,5,4,1
25,231.38,514,4148,25556.93,31277,1668968,5,4,1
26,234.31,523,4197,26912.6,32309,1801198,5,4,1
27,247.47,525,4348,28287.32,32439,1939138,5,4,1
28,257.12,530,4523,28882.25,33506,2079568,5,4,1
29,249.38,530,4538,29606.76,34161,2210732,5,4,1
30,252,528,4727,29650.72,33740,2327926,5,4,1
31,250.8,527,4786,31359.08,34841,2473571,5,4,1
32,264.47,541,5048,31491.69,36416,2664308,5,4,1
33,270.94,551,5253,33178.07,38149,2832667,5,4,1
34,281.94,553,5430,34229.8,39714,3014774,5,4,1
35,274.38,548,5424,35523.59,41952,3197000,5,4,1
36,256.46,537,5463,37067.2,43605,3348693,5,4,1
37,257.12,541,5588,37953.4,44892,3553196,5,4,1
38,244.98,528,5496,38771.55,45848,3703805,5,4,1
39,257.02,537,5774,39423.64,46844,3907490,5,4,1
40,248.71,540,5724,37973.32,48845,4096507,5,4,1
41,243.72,524,5640,39381.75,49647,4254662,5,4,1
42,245.76,526,5859,39709.87,49836,4447087,5,4,1
43,243.25,522,5866,39538,48954,4619976,5,4,1
44,243.43,538,6011,39674.17,51552,4876660,5,4,1
45,243.03,529,5960,40937.91,51322,5068044,5,4,1
46,251.64,538,6229,42706.55,52378,5324629,5,4,1
47,257.46,542,6176,43122.8,54480,5578121,5,4,1
48,247.79,543,6228,42903.92,53527,5768300,5,4,1
49,244.53,555,6180,44577.76,54841,6056053,5,4,1
50,251.98,587,6313,49248.37,55382,6360313,5,4,1
