sprints,var_ga,var_random,var_optimistic,tf_ga,tf_random,tf_best
1,0,0,0,1,1,1
2,109.43,99.95,107.87,2,3,2
3,190.49,223.68,219.2,5,5,3
4,326.37,318.6,325.75,4,4,3
5,420.53,407.42,500.97,4,4,3
6,498.79,544.18,694.91,5,4,3
7,604.44,646.86,841.59,5,4,2
8,698.4,786.9,1045.53,4,5,2
9,797.54,928.75,1227.96,4,4,2
10,865.4,995.81,1507.92,5,4,2
11,946.99,1060.44,1700.52,5,4,2
12,1034.74,1163.25,1950.17,4,5,2
13,1132.48,1250.1,2153.49,4,5,2
14,1156.14,1353.4,2415.15,4,5,2
15,1278.95,1456,2782.7,4,5,2
16,1355.89,1522.37,3173.82,3,5,2
17,1494.84,1659.98,3495.7,4,5,2
18,1664.36,1734.78,3797.59,4,4,2
19,1738.94,1813.89,4105.91,4,4,2
20,1814.05,1920.21,4493.53,4,5,2
21,1862.01,2016.84,4866.7,4,5,2
22,1907.77,2135.14,5275.7,4,5,2
23,2030.59,2169.15,5730.43,4,5,2
24,2109.74,2322.49,6218.62,5,5,2
25,2235.07,2320.11,6735.02,4,4,2
