ID,Inte,Med
896,797,76
900,408,76
902,556,74
903,435,74
904,756,79
906,578,77
907,651,74
908,745,79
910,677,76
912,652,73
913,1076,73
914,582,74
915,693,74
916,657,79
918,380,71
919,523,72
920,727,76
926,738,72
927,682,71
928,1033,81
929,844,80
932,940,77
933,388,74
934,482,81
940,915,74
943,558,71
948,863,75
970,799,79
1006,739,71
1015,511,72
1023,454,70
1026,557,76
1036,881,80
2668,461,86
2669,491,79
2670,691,72
2671,606,81
2672,757,89
2674,767,81
2677,369,70
2678,764,74
2679,419,76
2680,524,83
2682,662,88
2683,875,89
2684,668,86
2685,544,70
2693,452,77
2694,790,88
2696,399,73
2697,764,84
8128,381,73
8131,315,77
8132,380,78
8139,324,70
8140,311,79
8154,382,76
8155,416,78
8157,341,73
8160,365,71
8162,26,77
8163,207,72
8169,253,73
8174,226,72
8181,254,84
8184,268,70
8185,33,79
8188,285,70
8189,162,78
8190,138,78
8191,331,77
8193,210,81
8197,80,75
8200,148,70
8202,151,73
8207,398,73
8209,259,73
8211,186,79
9454,193,76
9458,262,81
9459,272,70
9461,255,72
9462,303,77
9472,209,70
9476,249,73
