ID Inte Med
277 14 0
454 349 0
455 370 0
458 264 0
525 15 0
636 951 0
730 397 0
770 1026 0
771 236 0
773 37 0
1047 24 2
1048 199 50
1049 43 19
1050 179 40
1051 233 74
1052 47 24
1053 182 43
1054 20 0
1055 70 34
1056 76 28
1057 282 79
1058 61 18
1059 43 10
1060 136 69
1061 47 3
1062 26 4
1063 246 79
1064 25 3
1065 300 79
1066 54 20
1067 258 84
1068 12 0
1069 22 3
1070 137 53
1071 144 68
1072 256 66
1073 296 85
1074 93 29
1075 247 77
1076 24 8
1077 86 42
1078 132 41
1079 10 0
1080 13 0
1081 37 24
1082 182 64
1083 35 22
1084 109 34
1085 220 72
1086 289 75
1087 343 77
1088 63 27
1089 205 57
1090 365 77
1091 78 53
1093 226 82
1094 168 74
1095 249 79
1096 103 30
1097 15 3
1098 6 0
1099 233 73
1100 523 82
1101 176 71
1102 42 16
1103 537 84
1105 309 72
1106 8 3
1107 312 78
1108 1 0
1109 54 31
1110 277 75
1111 394 81
1112 24 13
1113 184 35
1114 332 82
1115 190 72
1116 577 82
1117 13 2
1118 117 39
1119 55 32
1120 178 50
1121 94 55
1122 393 62
1123 52 18
1124 146 34
1125 302 65
1126 55 7
1127 115 52
1128 135 38
1129 32 4
1130 200 24
1131 113 43
1132 57 5
1133 95 43
1134 216 66
1135 187 55
1136 98 44
1137 69 24
1138 28 5
1139 233 59
1140 248 73
1141 17 0
1142 41 22
1143 109 50
1144 141 41
1145 635 82
1146 275 77
1147 315 73
1148 273 79
1149 202 69
1150 163 58
1151 163 59
1152 249 83
1153 323 75
1154 281 80
1155 64 29
1156 33 17
1157 81 32
1158 127 63
1159 67 33
1160 219 76
1161 84 21
1162 51 12
1163 81 20
1164 90 45
1165 60 32
1166 240 68
1167 10 1
1168 399 75
1169 316 65
1170 57 24
1171 15 1
1172 134 42
1173 120 47
1174 435 73
1175 15 0
1176 186 63
1177 105 51
1178 50 18
1179 352 73
1180 211 67
1181 271 68
1182 304 73
1183 316 87
1184 31 5
1185 62 19
1186 269 78
1187 232 57
1188 106 33
1189 245 59
1190 134 65
1196 93 64
1197 41 7
1198 354 81
1199 1 20
1200 54 44
1201 20 4
1202 207 55
1203 74 35
1204 72 32
1205 33 32
1206 66 43
1207 153 45
1208 11 0
1812 93 0
1831 59 20
1832 145 45
1836 24 27
1837 26 23
2386 12 24
2700 25 0
2741 12 43
3229 13 77
3524 136 82
3669 2 0
3670 2 0
3671 2 0
3672 124 41
3673 155 82
3697 71 52
3728 41 0
3734 16 0
4380 186 87
4395 58 0
4786 239 87
4787 78 76
4788 91 45
4789 122 69
4790 30 53
4791 129 80
4792 149 79
4793 140 84
4794 128 82
4795 124 84
4796 162 86
4797 95 75
4798 83 76
4799 163 83
4800 189 83
4801 104 81
4802 2 0
4803 186 87
4804 123 75
4805 201 87
4806 123 88
4808 141 83
4809 168 89
4810 221 87
4811 119 90
4812 121 68
4813 167 83
4814 207 91
4815 73 79
5990 2 0
7334 9 75
8498 19 63
8503 14 45
8504 8 66
8506 2 38
8510 6 60
8524 8 54
8529 8 52
8534 5 3
8546 7 39
8548 12 40
8569 7 54
8575 1 4
8593 7 79
8607 3 0
8608 142 37
8609 369 51
8610 70 34
8611 15 31
8612 2 22
8613 444 64
8614 112 58
8616 141 59
8618 206 67
8619 52 48
8620 122 65
8621 97 55
8622 274 56
8623 26 5
8624 103 53
8626 1069 55
8627 36 6
8628 22 16
8629 150 65
8630 13 7
8631 237 61
8632 8 1
8633 4 5
8634 146 18
8635 4 19
8636 33 10
8638 234 65
8639 251 65
8640 2 0
8641 66 55
8642 1 0
8643 270 57
8644 220 54
8645 70 42
8647 110 59
8648 179 44
8649 192 57
8650 56 56
8651 7 1
8652 153 62
8653 23 9
8654 56 9
8655 237 54
8656 238 66
8657 35 27
8658 89 53
8659 11 16
8660 153 23
8661 106 18
8662 15 11
8663 70 53
8664 87 25
8665 193 69
8666 5 3
8667 108 45
8668 48 52
8669 39 26
8670 78 30
8671 75 49
8672 41 28
8673 3 10
8674 6 6
8675 74 50
8676 48 13
8677 94 56
8678 43 46
8679 68 53
8680 130 36
8681 32 39
8682 31 37
8683 35 25
8684 4 3
8685 66 22
8686 86 60
8687 45 31
8688 44 41
8689 38 40
8690 62 37
9103 12 66
9499 56 52
9500 41 47
9501 175 53
9502 63 50
9503 11 21
9504 36 48
9505 46 41
9506 40 37
9507 37 53
9508 10 12
9509 40 48
9510 19 46
9511 49 53
9512 28 15
9513 3 2
9514 46 55
9515 17 15
9516 50 41
9517 36 43
9518 50 44
9519 3 2
9520 14 23
9521 19 35
9522 46 45
9523 33 56
9524 52 46
9525 36 48
9526 36 44
9527 23 38
