ID,Inte,Med
1051,233,74
1057,282,79
1063,246,79
1065,300,79
1067,258,84
1073,296,85
1075,247,77
1085,220,72
1086,289,75
1087,343,77
1090,365,77
1093,226,82
1094,168,74
1095,249,79
1099,233,73
1100,523,82
1101,176,71
1103,537,84
1105,309,72
1107,312,78
1110,277,75
1111,394,81
1114,332,82
1115,190,72
1116,577,82
1140,248,73
1145,635,82
1146,275,77
1147,315,73
1148,273,79
1152,249,83
1153,323,75
1154,281,80
1160,219,76
1168,399,75
1174,435,73
1179,352,73
1182,304,73
1183,316,87
1186,269,78
1198,354,81
3229,13,77
3524,136,82
3673,155,82
4380,186,87
4786,239,87
4787,78,76
4791,129,80
4792,149,79
4793,140,84
4794,128,82
4795,124,84
4796,162,86
4797,95,75
4798,83,76
4799,163,83
4800,189,83
4801,104,81
4803,186,87
4804,123,75
4805,201,87
4806,123,88
4808,141,83
4809,168,89
4810,221,87
4811,119,90
4813,167,83
4814,207,91
4815,73,79
7334,9,75
8593,7,79
