ID,Inte,Med
814,40,73
6279,38,71
6280,27,86
6281,52,88
6285,25,75
6287,51,82
6288,62,75
6289,85,89
6291,38,81
6294,69,85
6296,28,80
6297,36,80
6298,20,75
6299,21,70
6300,57,80
6301,51,83
6303,20,86
6304,73,87
6305,39,80
6306,26,79
6310,30,88
6312,33,83
6313,58,74
6315,25,89
6316,39,85
6319,23,74
6320,23,91
6321,15,80
6322,42,88
6324,82,83
6325,63,73
6327,25,82
6329,25,77
6330,14,90
6331,53,92
6367,20,73
6368,67,80
6371,43,84
6372,47,84
6374,77,77
6375,90,80
6376,25,77
6379,95,78
6385,72,89
6386,40,79
6388,31,78
6389,43,77
6393,60,71
6395,32,82
6396,50,70
6398,55,80
6400,47,71
6401,24,75
6402,42,76
6403,71,75
6404,25,80
6405,50,72
6406,45,80
6408,37,72
6410,23,72
6413,46,76
6421,38,83
6422,50,80
6424,51,76
6425,48,80
6426,79,84
6427,106,74
6428,69,72
6430,74,88
6433,52,84
6436,43,81
6438,43,78
6439,18,78
6443,98,73
6448,37,77
6450,64,74
6454,74,78
6455,47,74
6456,50,79
6457,39,77
6459,51,71
6460,33,79
6461,76,76
6468,48,80
6469,41,82
6470,35,85
6471,69,86
6472,44,79
6473,17,85
6475,70,88
6477,26,87
6478,26,90
6481,36,78
6482,54,88
6484,16,81
6486,16,79
6487,20,86
6488,102,89
6489,22,87
6490,95,78
6491,46,83
6494,51,76
6495,26,82
6496,28,87
6497,116,92
6498,26,75
6501,77,73
6502,57,91
6503,53,80
6504,52,80
6505,24,79
6506,56,89
6507,74,80
6509,30,90
6510,91,80
6511,41,75
6513,33,79
6516,18,86
6517,14,89
6518,42,83
6520,67,73
6521,70,88
6522,25,83
6524,23,77
6529,32,86
6533,31,83
6534,40,83
6535,40,77
6539,30,82
6546,39,73
6549,20,78
6552,38,79
6554,8,73
6560,54,74
6564,26,85
6565,60,83
6566,61,81
6567,60,91
6568,27,71
6575,27,72
6579,40,70
6588,20,71
6591,21,82
6592,23,86
6594,44,80
6595,28,81
6597,53,80
6598,45,87
6599,37,77
6601,50,71
6602,42,83
6604,29,76
6605,25,71
6606,31,73
6607,55,74
6609,78,83
6610,56,87
6611,32,75
6615,29,78
6616,25,72
6617,39,79
6619,36,82
6621,51,88
6623,38,70
6624,62,85
6625,32,70
6626,44,82
6631,28,78
6632,54,77
6634,52,83
6635,64,83
6636,54,77
6637,23,76
6644,51,77
6645,33,84
6646,26,78
6648,29,88
6652,18,88
6653,66,75
6655,31,76
6656,41,70
6661,61,78
6664,19,87
6666,43,98
6668,71,75
6672,41,82
6673,29,73
6674,39,77
6678,32,85
6681,89,76
6682,26,88
6683,57,89
6686,66,85
6689,44,87
6690,56,77
6692,34,89
8741,64,86
8743,73,83
8744,92,89
8745,58,78
8747,35,88
8748,67,81
8749,75,93
8751,63,87
8752,27,87
8753,54,89
8754,71,84
8755,99,84
8756,63,83
8759,68,77
8760,55,81
8762,64,77
8763,38,84
8764,72,89
8765,88,76
8766,62,83
8768,74,83
8769,58,77
8770,65,82
8771,57,81
8772,75,89
8773,68,80
8774,68,88
8775,57,90
8777,77,93
8778,29,71
8779,75,96
8780,76,81
8782,81,83
8783,66,77
8784,76,95
8785,82,93
8786,87,93
8787,56,79
8790,85,86
8791,99,89
8792,74,86
8793,86,93
8796,75,89
8797,84,87
8798,94,85
8799,82,88
8800,78,84
8801,47,78
8802,68,80
8804,41,75
8807,51,84
8809,34,75
8810,83,85
8812,54,77
8814,53,82
8815,47,80
8817,59,80
8820,72,88
8823,64,70
8824,70,86
8825,56,79
8827,50,79
8830,74,80
8832,54,71
8833,56,82
8834,24,75
8837,27,83
8838,82,90
8839,44,87
8841,80,90
8842,74,75
8844,60,70
8845,74,86
8847,62,80
8849,82,73
8850,71,86
8853,65,79
8854,19,77
8855,59,88
8856,68,91
8858,75,94
8859,74,88
8862,94,93
8863,54,82
8871,78,82
8872,79,93
8873,77,96
8874,89,83
8875,97,73
8882,102,79
8883,86,74
8889,59,86
8891,100,79
8892,75,83
8896,106,77
8897,95,86
8898,44,72
8899,101,72
8900,91,83
8904,79,84
8907,123,70
8910,70,82
8911,114,76
8912,87,82
8914,62,81
8915,83,73
8923,77,72
8924,61,75
9163,11,70
9606,30,76
9607,60,89
9609,12,76
9611,63,87
9612,58,81
9613,35,86
9618,62,77
9620,34,71
9621,72,77
9624,75,86
9625,58,71
9626,50,78
9627,57,76
9628,35,80
9629,49,80
9630,55,74
9631,66,78
