ID,Inte,Med
6185,104,0
6187,181,0
6282,34,25
6286,39,47
6290,2,3
6292,24,52
6309,31,53
6314,22,59
6317,21,53
6326,1,12
6328,52,69
6332,16,66
6377,107,52
6380,47,69
6381,62,59
6382,35,58
6384,22,68
6411,50,14
6414,17,14
6429,61,60
6434,33,61
6440,56,66
6445,100,67
6451,38,59
6452,54,33
6458,7,51
6462,5,12
6466,24,65
6474,32,62
6538,14,19
6544,28,26
6547,54,69
6550,48,66
6553,57,29
6556,25,7
6559,37,69
6576,27,68
6577,5,7
6582,42,54
6589,60,65
6593,50,68
6596,23,68
6603,26,60
6612,11,22
6633,47,64
6638,27,64
6640,17,64
6642,20,55
6643,86,59
6647,53,68
6649,4,24
6650,76,60
6651,47,0
6657,3,3
6658,63,65
6659,60,61
6660,26,69
6662,59,56
6663,59,67
6667,7,7
6671,25,61
6677,22,12
6679,37,68
6680,11,44
6687,110,55
6959,51,20
6992,30,64
8742,21,63
8746,19,28
8750,1,0
8757,45,66
8758,92,69
8761,7,26
8767,40,49
8776,7,6
8788,7,17
8789,36,52
8794,23,17
8795,34,62
8803,75,68
8805,15,57
8806,41,65
8808,1,0
8811,5,26
8813,3,7
8816,8,54
8818,4,11
8819,57,61
8821,15,47
8822,13,28
8826,9,8
8828,11,35
8829,33,60
8831,53,69
8835,4,13
8840,52,66
8843,30,67
8846,45,62
8852,15,58
8857,43,35
8860,2,0
8861,1,0
8864,11,67
8865,53,65
8866,2,0
8867,7,12
8869,19,42
8870,89,64
8876,18,39
8877,79,66
8878,1,11
8879,18,27
8880,84,32
8881,6,0
8884,29,44
8885,6,2
8886,76,59
8887,44,65
8888,42,52
8890,42,69
8894,21,34
8895,14,33
8901,16,39
8902,42,46
8903,96,59
8909,2,3
8916,55,68
8917,38,66
8918,52,69
8919,4,18
8921,1,2
8922,69,67
9610,26,54
9615,19,62
9616,28,48
9617,2,4
9619,57,40
9622,13,65
9623,17,54
9642,22,28
10203,15,69
